ds,y
2020-06-29 07:00:00,18512628
2020-06-29 08:00:00,22667511
2020-06-29 09:00:00,26638701
2020-06-29 10:00:00,30363534
2020-06-29 11:00:00,31051293
2020-06-29 12:00:00,31570289
2020-06-29 13:00:00,31564218
2020-06-29 14:00:00,30996021
2020-06-29 15:00:00,30861544
2020-06-29 16:00:00,30882187
2020-06-29 17:00:00,31506432
2020-06-29 18:00:00,32089390
2020-06-29 19:00:00,34995275
2020-06-29 20:00:00,37595024
2020-06-29 21:00:00,39270080
2020-06-29 22:00:00,38087939
2020-06-29 23:00:00,31175671
2020-06-30 00:00:00,21169376
2020-06-30 01:00:00,12777045
2020-06-30 02:00:00,7947950
2020-06-30 03:00:00,6038202
2020-06-30 04:00:00,6344623
2020-06-30 05:00:00,8669763
2020-06-30 06:00:00,12541617
2020-06-30 07:00:00,17161685
2020-06-30 08:00:00,22126843
2020-06-30 09:00:00,25750096
2020-06-30 10:00:00,27965183
2020-06-30 11:00:00,29569655
2020-06-30 12:00:00,29368930
2020-06-30 13:00:00,28662790
2020-06-30 14:00:00,28092552
2020-06-30 15:00:00,28837454
2020-06-30 16:00:00,30848705
2020-06-30 17:00:00,31007417
2020-06-30 18:00:00,32014826
2020-06-30 19:00:00,33610787
2020-06-30 20:00:00,35250282
2020-06-30 21:00:00,37289152
2020-06-30 22:00:00,36437573
2020-06-30 23:00:00,30989407
2020-07-01 00:00:00,21699735
2020-07-01 01:00:00,13627736
2020-07-01 02:00:00,8487995
2020-07-01 03:00:00,6155833
2020-07-01 04:00:00,6134052
2020-07-01 05:00:00,7936786
2020-07-01 06:00:00,11468867
2020-07-01 07:00:00,16068343
2020-07-01 08:00:00,21390383
2020-07-01 09:00:00,25456953
2020-07-01 10:00:00,27954910
2020-07-01 11:00:00,29209552
2020-07-01 12:00:00,29863708
2020-07-01 13:00:00,29072001
2020-07-01 14:00:00,28677544
2020-07-01 15:00:00,29252666
2020-07-01 16:00:00,29103234
2020-07-01 17:00:00,29448744
2020-07-01 18:00:00,30423218
2020-07-01 19:00:00,32259848
2020-07-01 20:00:00,35290144
2020-07-01 21:00:00,36557946
2020-07-01 22:00:00,35769654
2020-07-01 23:00:00,30470214
2020-07-02 00:00:00,21688490
2020-07-02 01:00:00,13269243
2020-07-02 02:00:00,8276220
2020-07-02 03:00:00,6229170
2020-07-02 04:00:00,6409770
2020-07-02 05:00:00,8576712
2020-07-02 06:00:00,12557571
2020-07-02 07:00:00,17137077
2020-07-02 08:00:00,21479519
2020-07-02 09:00:00,25516247
2020-07-02 10:00:00,28153702
2020-07-02 11:00:00,29610526
2020-07-02 12:00:00,31261510
2020-07-02 13:00:00,31678808
2020-07-02 14:00:00,33085963
2020-07-02 15:00:00,34632871
2020-07-02 16:00:00,33793580
2020-07-02 17:00:00,33979879
2020-07-02 18:00:00,34525442
2020-07-02 19:00:00,36060431
2020-07-02 20:00:00,37907976
2020-07-02 21:00:00,39312795
2020-07-02 22:00:00,37962306
2020-07-02 23:00:00,31988742
2020-07-03 00:00:00,22211027
2020-07-03 01:00:00,13796264
2020-07-03 02:00:00,8789825
2020-07-03 03:00:00,6631431
2020-07-03 04:00:00,6892776
2020-07-03 05:00:00,9224106
2020-07-03 06:00:00,13378146
2020-07-03 07:00:00,18327023
2020-07-03 08:00:00,22813870
2020-07-03 09:00:00,26687970
2020-07-03 10:00:00,29700125
2020-07-03 11:00:00,30935858
2020-07-03 12:00:00,31433757
2020-07-03 13:00:00,31161589
2020-07-03 14:00:00,31021838
2020-07-03 15:00:00,32234998
2020-07-03 16:00:00,32274110
2020-07-03 17:00:00,32653593
2020-07-03 18:00:00,33115892
2020-07-03 19:00:00,33940380
2020-07-03 20:00:00,36172087
2020-07-03 21:00:00,37924291
2020-07-03 22:00:00,37963678
2020-07-03 23:00:00,32324389
2020-07-04 00:00:00,23096732
2020-07-04 01:00:00,14652658
2020-07-04 02:00:00,9348093
2020-07-04 03:00:00,6821523
2020-07-04 04:00:00,6570093
2020-07-04 05:00:00,8293400
2020-07-04 06:00:00,11670927
2020-07-04 07:00:00,16332369
2020-07-04 08:00:00,21272243
2020-07-04 09:00:00,26770500
2020-07-04 10:00:00,29201064
2020-07-04 11:00:00,30294666
2020-07-04 12:00:00,30362316
2020-07-04 13:00:00,30319127
2020-07-04 14:00:00,29959520
2020-07-04 15:00:00,29633560
2020-07-04 16:00:00,29976418
2020-07-04 17:00:00,29806166
2020-07-04 18:00:00,31011962
2020-07-04 19:00:00,32169116
2020-07-04 20:00:00,34060751
2020-07-04 21:00:00,35704370
2020-07-04 22:00:00,35474607
2020-07-04 23:00:00,30733177
2020-07-05 00:00:00,22447513
2020-07-05 01:00:00,14777479
2020-07-05 02:00:00,9353912
2020-07-05 03:00:00,6711979
2020-07-05 04:00:00,6226586
2020-07-05 05:00:00,7557834
2020-07-05 06:00:00,10493617
2020-07-05 07:00:00,15042281
2020-07-05 08:00:00,20352220
2020-07-05 09:00:00,25408964
2020-07-05 10:00:00,28938370
2020-07-05 11:00:00,30490505
2020-07-05 12:00:00,30761716
2020-07-05 13:00:00,30848549
2020-07-05 14:00:00,30753758
2020-07-05 15:00:00,30490339
2020-07-05 16:00:00,31185524
2020-07-05 17:00:00,32939909
2020-07-05 18:00:00,33154796
2020-07-05 19:00:00,34210802
2020-07-05 20:00:00,35921549
2020-07-05 21:00:00,37548964
2020-07-05 22:00:00,37562627
2020-07-05 23:00:00,31480336
2020-07-06 00:00:00,21691240
2020-07-06 01:00:00,13423360
2020-07-06 02:00:00,8543357
2020-07-06 03:00:00,6459525
2020-07-06 04:00:00,6797220
2020-07-06 05:00:00,9032387
2020-07-06 06:00:00,13242447
2020-07-06 07:00:00,18351082
2020-07-06 08:00:00,22868117
2020-07-06 09:00:00,26628627
2020-07-06 10:00:00,29512639
2020-07-06 11:00:00,30894295
2020-07-06 12:00:00,31457763
2020-07-06 13:00:00,31908479
2020-07-06 14:00:00,32930829
2020-07-06 15:00:00,32861856
2020-07-06 16:00:00,32768913
2020-07-06 17:00:00,33507910
2020-07-06 18:00:00,35953790
2020-07-06 19:00:00,37330164
2020-07-06 20:00:00,38992086
2020-07-06 21:00:00,40726129
2020-07-06 22:00:00,39972942
2020-07-06 23:00:00,33177232
2020-07-07 00:00:00,23087455
2020-07-07 01:00:00,14061903
2020-07-07 02:00:00,8931607
2020-07-07 03:00:00,6877186
2020-07-07 04:00:00,7274102
2020-07-07 05:00:00,9876580
2020-07-07 06:00:00,14817800
2020-07-07 07:00:00,20041587
2020-07-07 08:00:00,24139473
2020-07-07 09:00:00,27836737
2020-07-07 10:00:00,31159930
2020-07-07 11:00:00,32400898
2020-07-07 12:00:00,32258053
2020-07-07 13:00:00,32128630
2020-07-07 14:00:00,32052017
2020-07-07 15:00:00,31724264
2020-07-07 16:00:00,31369978
2020-07-07 17:00:00,32390536
2020-07-07 18:00:00,34696334
2020-07-07 19:00:00,35514497
2020-07-07 20:00:00,37186269
2020-07-07 21:00:00,39683226
2020-07-07 22:00:00,39014573
2020-07-07 23:00:00,31810776
2020-07-08 00:00:00,22080622
2020-07-08 01:00:00,13621755
2020-07-08 02:00:00,8687337
2020-07-08 03:00:00,6823431
2020-07-08 04:00:00,7138248
2020-07-08 05:00:00,9774702
2020-07-08 06:00:00,14524126
2020-07-08 07:00:00,19792033
2020-07-08 08:00:00,24386272
2020-07-08 09:00:00,28844223
2020-07-08 10:00:00,31967635
2020-07-08 11:00:00,34119599
2020-07-08 12:00:00,35031325
2020-07-08 13:00:00,34300099
2020-07-08 14:00:00,34170893
2020-07-08 15:00:00,33795913
2020-07-08 16:00:00,34733557
2020-07-08 17:00:00,33939511
2020-07-08 18:00:00,34410327
2020-07-08 19:00:00,36642237
2020-07-08 20:00:00,39084469
2020-07-08 21:00:00,41720735
2020-07-08 22:00:00,40480682
2020-07-08 23:00:00,33378718
2020-07-09 00:00:00,22395192
2020-07-09 01:00:00,13522590
2020-07-09 02:00:00,8574682
2020-07-09 03:00:00,6552153
2020-07-09 04:00:00,7012280
2020-07-09 05:00:00,9521725
2020-07-09 06:00:00,14053878
2020-07-09 07:00:00,19276369
2020-07-09 08:00:00,23986560
2020-07-09 09:00:00,28237804
2020-07-09 10:00:00,31059700
2020-07-09 11:00:00,33120055
2020-07-09 12:00:00,33576055
2020-07-09 13:00:00,32978682
2020-07-09 14:00:00,32879689
2020-07-09 15:00:00,32560269
2020-07-09 16:00:00,32299959
2020-07-09 17:00:00,32990743
2020-07-09 18:00:00,33739571
2020-07-09 19:00:00,34622564
2020-07-09 20:00:00,37184576
2020-07-09 21:00:00,43007782
2020-07-09 22:00:00,42384037
2020-07-09 23:00:00,37133896
2020-07-10 00:00:00,23987737
2020-07-10 01:00:00,14472529
2020-07-10 02:00:00,9277987
2020-07-10 03:00:00,7164831
2020-07-10 04:00:00,7622667
2020-07-10 05:00:00,10516818
2020-07-10 06:00:00,15652631
2020-07-10 07:00:00,21558069
2020-07-10 08:00:00,26601911
2020-07-10 09:00:00,30322470
2020-07-10 10:00:00,33846918
2020-07-10 11:00:00,35150647
2020-07-10 12:00:00,35470957
2020-07-10 13:00:00,36316836
2020-07-10 14:00:00,35838159
2020-07-10 15:00:00,35439547
2020-07-10 16:00:00,34881723
2020-07-10 17:00:00,35086973
2020-07-10 18:00:00,36130670
2020-07-10 19:00:00,37135121
2020-07-10 20:00:00,39273520
2020-07-10 21:00:00,42949983
2020-07-10 22:00:00,42626198
2020-07-10 23:00:00,35294014
2020-07-11 00:00:00,23785788
2020-07-11 01:00:00,15558445
2020-07-11 02:00:00,10139908
2020-07-11 03:00:00,7463579
2020-07-11 04:00:00,7277217
2020-07-11 05:00:00,9319608
2020-07-11 06:00:00,13440930
2020-07-11 07:00:00,18876214
2020-07-11 08:00:00,24543857
2020-07-11 09:00:00,29846309
2020-07-11 10:00:00,32849491
2020-07-11 11:00:00,34053438
2020-07-11 12:00:00,34108832
2020-07-11 13:00:00,34334373
2020-07-11 14:00:00,35640485
2020-07-11 15:00:00,34056549
2020-07-11 16:00:00,34559535
2020-07-11 17:00:00,37970276
2020-07-11 18:00:00,39534183
2020-07-11 19:00:00,41388187
2020-07-11 20:00:00,43398687
2020-07-11 21:00:00,46815459
2020-07-11 22:00:00,46365967
2020-07-11 23:00:00,38636134
2020-07-12 00:00:00,27135098
2020-07-12 01:00:00,17996433
2020-07-12 02:00:00,11690443
2020-07-12 03:00:00,8524457
2020-07-12 04:00:00,7886625
2020-07-12 05:00:00,9662255
2020-07-12 06:00:00,13452776
2020-07-12 07:00:00,19282788
2020-07-12 08:00:00,25957230
2020-07-12 09:00:00,32500758
2020-07-12 10:00:00,36753986
2020-07-12 11:00:00,38208932
2020-07-12 12:00:00,37733435
2020-07-12 13:00:00,37387246
2020-07-12 14:00:00,37290762
2020-07-12 15:00:00,37086073
2020-07-12 16:00:00,36624957
2020-07-12 17:00:00,37629650
2020-07-12 18:00:00,38884747
2020-07-12 19:00:00,40884646
2020-07-12 20:00:00,42614521
2020-07-12 21:00:00,44253856
2020-07-12 22:00:00,42696116
2020-07-12 23:00:00,35442596
2020-07-13 00:00:00,24368577
2020-07-13 01:00:00,14883357
2020-07-13 02:00:00,9313338
2020-07-13 03:00:00,7145002
2020-07-13 04:00:00,7575566
2020-07-13 05:00:00,10274472
2020-07-13 06:00:00,15147345
2020-07-13 07:00:00,20880006
2020-07-13 08:00:00,26424665
2020-07-13 09:00:00,31091554
2020-07-13 10:00:00,34436963
2020-07-13 11:00:00,36060320
2020-07-13 12:00:00,36503878
2020-07-13 13:00:00,36544630
2020-07-13 14:00:00,36175398
2020-07-13 15:00:00,36739153
2020-07-13 16:00:00,40765136
2020-07-13 17:00:00,40561626
2020-07-13 18:00:00,41575238
2020-07-13 19:00:00,43579034
2020-07-13 20:00:00,46769019
2020-07-13 21:00:00,49402716
2020-07-13 22:00:00,47899346
2020-07-13 23:00:00,37986940
2020-07-14 00:00:00,23730591
2020-07-14 01:00:00,14494652
2020-07-14 02:00:00,9832530
2020-07-14 03:00:00,7494409
2020-07-14 04:00:00,7980696
2020-07-14 05:00:00,10833706
2020-07-14 06:00:00,16077384
2020-07-14 07:00:00,22357086
2020-07-14 08:00:00,27762693
2020-07-14 09:00:00,33108688
2020-07-14 10:00:00,36584670
2020-07-14 11:00:00,38170660
2020-07-14 12:00:00,38394094
2020-07-14 13:00:00,37919994
2020-07-14 14:00:00,36703946
2020-07-14 15:00:00,36421111
2020-07-14 16:00:00,36709631
2020-07-14 17:00:00,36905610
2020-07-14 18:00:00,37818707
2020-07-14 19:00:00,40212429
2020-07-14 20:00:00,42791464
2020-07-14 21:00:00,45471751
2020-07-14 22:00:00,43769881
2020-07-14 23:00:00,35280382
2020-07-15 00:00:00,23162827
2020-07-15 01:00:00,14051109
2020-07-15 02:00:00,8852908
2020-07-15 03:00:00,6789032
2020-07-15 04:00:00,7132378
2020-07-15 05:00:00,9708497
2020-07-15 06:00:00,14251840
2020-07-15 07:00:00,19867281
2020-07-15 08:00:00,24838083
2020-07-15 09:00:00,29539371
2020-07-15 10:00:00,32646712
2020-07-15 11:00:00,34773306
2020-07-15 12:00:00,34705954
2020-07-15 13:00:00,34517200
2020-07-15 14:00:00,34011804
2020-07-15 15:00:00,34182432
2020-07-15 16:00:00,34407797
2020-07-15 17:00:00,34569659
2020-07-15 18:00:00,36314602
2020-07-15 19:00:00,37983591
2020-07-15 20:00:00,40064894
2020-07-15 21:00:00,42469662
2020-07-15 22:00:00,40937462
2020-07-15 23:00:00,33719742
2020-07-16 00:00:00,22748386
2020-07-16 01:00:00,13895166
2020-07-16 02:00:00,8873356
2020-07-16 03:00:00,6775435
2020-07-16 04:00:00,7101795
2020-07-16 05:00:00,9708560
2020-07-16 06:00:00,14175035
2020-07-16 07:00:00,19537323
2020-07-16 08:00:00,24381281
2020-07-16 09:00:00,28491722
2020-07-16 10:00:00,31678082
2020-07-16 11:00:00,32879816
2020-07-16 12:00:00,33171964
2020-07-16 13:00:00,32762298
